Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9958333333333333,0.8666666666666667,0.8791666666666667,0.8666666666666667,0.8671717171717171
SVM,0.9958333333333333,0.8,0.8012787723785166,0.8,0.7978001257071025
KNN,1.0,0.8,0.8222377622377622,0.8,0.7958633958633958
