Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9523809523809523,0.42857142857142855,0.4877148227712137,0.42857142857142855,0.4222222222222222
SVM,0.6964285714285714,0.5,0.5445261437908496,0.5,0.49676369031207745
KNN,0.6845238095238095,0.5952380952380952,0.6165607268548446,0.5952380952380952,0.5987666688928961
