Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9625,0.6,0.6056998556998557,0.6,0.5949410067057125
SVM,0.7041666666666667,0.6333333333333333,0.6382575757575757,0.6333333333333333,0.6322751322751323
KNN,0.9916666666666667,0.6333333333333333,0.6466666666666666,0.6333333333333333,0.6148148148148148
