Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9416666666666667,0.6666666666666666,0.6906369731800766,0.6666666666666666,0.6673646481795887
SVM,0.5833333333333334,0.5,0.5312950937950939,0.5,0.5028604118993134
KNN,0.6791666666666667,0.45,0.5184371184371185,0.45,0.42142857142857143
